Price,Close,High,Low,Open,Volume
Ticker,^VNI,^VNI,^VNI,^VNI,^VNI
Date,,,,,
2020-08-14,850.739990234375,860.3200073242188,848.3800048828125,854.2899780273438,304700
2020-08-17,850.1500244140625,852.0499877929688,841.6199951171875,848.0800170898438,237500
2020-08-18,846.4299926757812,851.0599975585938,845.0,850.1500244140625,227500
2020-08-19,851.2100219726562,853.1500244140625,846.219970703125,847.1900024414062,240100
2020-08-20,848.2100219726562,856.989990234375,847.4400024414062,851.2100219726562,285700
2020-08-21,854.780029296875,856.4500122070312,849.6900024414062,849.989990234375,286800
2020-08-24,868.6799926757812,868.6799926757812,860.3499755859375,860.3499755859375,381500
2020-08-25,874.1199951171875,877.5700073242188,870.9199829101562,870.9199829101562,399100
2020-08-26,873.469970703125,876.969970703125,871.780029296875,873.6199951171875,352400
2020-08-27,874.7100219726562,875.7100219726562,871.9299926757812,872.3800048828125,325700
2020-08-28,878.97998046875,885.8599853515625,877.7000122070312,878.7899780273438,398300
2020-08-31,881.6500244140625,888.4400024414062,879.260009765625,882.1300048828125,352700
2020-09-01,891.72998046875,892.510009765625,880.7899780273438,882.4000244140625,317000
2020-09-03,903.969970703125,904.3200073242188,896.260009765625,898.25,370500
2020-09-04,901.5399780273438,903.1099853515625,893.8599853515625,896.02001953125,346400
2020-09-08,890.1400146484375,894.5800170898438,884.8800048828125,891.6099853515625,294000
2020-09-09,889.3200073242188,892.4000244140625,881.5700073242188,883.6799926757812,318400
2020-09-10,888.8200073242188,896.780029296875,888.8200073242188,895.2899780273438,387200
2020-09-11,888.969970703125,890.97998046875,884.6699829101562,888.8200073242188,309900
2020-09-14,894.5700073242188,895.3099975585938,891.8900146484375,891.8900146484375,364400
2020-09-15,896.260009765625,898.739990234375,894.6599731445312,896.6099853515625,381800
2020-09-16,897.469970703125,897.5800170898438,894.6300048828125,897.4299926757812,290400
2020-09-17,894.0399780273438,899.4099731445312,890.9299926757812,897.469970703125,395500
2020-09-18,900.9500122070312,902.1099853515625,895.8200073242188,896.0800170898438,361800
2020-09-21,907.9400024414062,909.780029296875,904.5,904.5,403400
2020-09-22,906.1900024414062,909.6900024414062,902.469970703125,905.9000244140625,401400
2020-09-23,912.5,913.52001953125,908.969970703125,908.969970703125,392500
2020-09-24,908.5800170898438,914.510009765625,907.3200073242188,910.530029296875,398500
2020-09-25,908.27001953125,911.2999877929688,905.5599975585938,910.780029296875,361200
2020-09-28,912.5,913.5999755859375,910.0399780273438,911.2000122070312,420200
2020-09-29,903.97998046875,917.489990234375,903.97998046875,916.6300048828125,465400
2020-09-30,905.2100219726562,907.0,900.4400024414062,904.3400268554688,340700
2020-10-01,914.0900268554688,914.0900268554688,909.1300048828125,910.1300048828125,352400
2020-10-02,909.9099731445312,916.6699829101562,897.719970703125,914.0900268554688,527200
2020-10-05,914.6799926757812,915.5499877929688,910.9600219726562,913.77001953125,456100
2020-10-06,915.6699829101562,918.9299926757812,912.77001953125,918.1099853515625,496100
